<<<<<<< HEAD
Frequences des aires,nombres faces
3.28278e-05,5002
3.61106e-05,5002
3.93933e-05,5002
4.26761e-05,5002
4.59589e-05,5002
4.92417e-05,5002
5.25244e-05,5002
5.58072e-05,5002
5.909e-05,5002
6.23728e-05,5002
6.56556e-05,5002
6.89383e-05,5002
7.22211e-05,5002
7.55039e-05,5002
7.87867e-05,5002
8.20695e-05,5002
8.53522e-05,5002
8.8635e-05,5002
9.19178e-05,5002
9.52006e-05,5002
9.84834e-05,5002
0.000101766,5002
0.000105049,5002
0.000108332,5002
0.000111614,5002
0.000114897,5002
0.00011818,5002
0.000121463,5002
0.000124746,5002
0.000128028,5002
0.000131311,5002
0.000134594,5002
0.000137877,5002
0.00014116,5002
0.000144442,5002
0.000147725,5002
0.000151008,5002
0.000154291,5002
0.000157573,5002
0.000160856,5002
0.000164139,5002
0.000167422,5002
0.000170705,5002
0.000173987,5002
0.00017727,5002
0.000180553,5002
0.000183836,5002
0.000187118,5002
0.000190401,5002
0.000193684,5002
0.000196967,5002
0.00020025,5002
0.000203532,5002
0.000206815,5002
0.000210098,5002
0.000213381,5002
0.000216663,5002
0.000219946,5002
0.000223229,5002
0.000226512,5002
0.000229795,5002
0.000233077,5002
0.00023636,5002
0.000239643,5002
0.000242926,5002
0.000246209,5002
0.000249491,5002
0.000252774,5002
0.000256057,5002
0.00025934,5002
0.000262622,5002
0.000265905,5002
0.000269188,5002
0.000272471,5002
0.000275753,5002
0.000279036,5002
0.000282319,5002
0.000285602,5002
0.000288884,5002
0.000292167,5002
0.00029545,5002
0.000298733,5002
0.000302016,5002
0.000305298,5002
0.000308581,5002
0.000311864,5002
0.000315147,5002
0.000318429,5002
0.000321712,5002
0.000324995,5002
0.000328278,5002
0.00033156,5002
0.000334843,5002
0.000338126,5002
0.000341409,5002
0.000344692,5002
0.000347974,5002
0.000351257,5002
0.00035454,5002
0.000357823,5002
0.000361105,5002
0.000364388,5002
0.000367671,5002
0.000370954,5002
0.000374236,5002
0.000377519,5002
0.000380802,5002
0.000384085,5002
0.000387367,5002
0.00039065,5002
0.000393933,5002
0.000397216,5002
0.000400499,5002
0.000403781,5002
0.000407064,5002
0.000410347,5002
0.00041363,5002
0.000416912,5002
0.000420195,5002
0.000423478,5002
0.000426761,5002
0.000430043,5002
0.000433326,5002
0.000436609,5002
0.000439892,5002
0.000443175,5002
0.000446457,5002
0.00044974,5002
0.000453023,5002
0.000456306,5002
0.000459588,5002
0.000462871,5002
0.000466154,5002
0.000469437,5002
0.000472719,5002
0.000476002,5002
0.000479285,5002
0.000482568,5002
0.00048585,5002
0.000489133,5002
0.000492416,5002
0.000495699,5002
0.000498982,5002
0.000502264,5002
0.000505547,5002
0.00050883,5002
0.000512113,5002
0.000515396,5002
0.000518678,5002
0.000521961,5002
0.000525244,5002
0.000528527,5002
0.00053181,5002
0.000535092,5002
0.000538375,5002
0.000541658,5002
0.000544941,5002
0.000548224,5002
0.000551506,5002
0.000554789,5002
0.000558072,5002
0.000561355,5002
0.000564638,5002
0.00056792,5002
0.000571203,5002
0.000574486,5002
0.000577769,5002
0.000581052,5002
0.000584334,5002
0.000587617,5002
0.0005909,5002
0.000594183,5002
0.000597465,5002
0.000600748,5002
0.000604031,5002
0.000607314,5002
0.000610597,5002
0.000613879,5002
0.000617162,5002
0.000620445,5002
0.000623728,5002
0.000627011,5002
0.000630293,5002
0.000633576,5002
0.000636859,5002
0.000640142,5002
0.000643425,5002
0.000646707,5002
0.00064999,5002
0.000653273,5002
0.000656556,5002
0.000659839,5002
0.000663121,5002
0.000666404,5002
0.000669687,5002
0.00067297,5002
0.000676253,5002
0.000679535,5002
0.000682818,5002
0.000686101,5002
0.000689384,5002
0.000692667,5002
0.000695949,5002
0.000699232,5002
0.000702515,5002
0.000705798,5002
0.000709081,5002
0.000712363,5002
0.000715646,5002
0.000718929,5002
0.000722212,5002
0.000725495,5002
0.000728777,5002
0.00073206,5002
0.000735343,5002
0.000738626,5002
0.000741909,5002
0.000745191,5002
0.000748474,5002
0.000751757,5002
0.00075504,5002
0.000758322,5002
0.000761605,5002
0.000764888,5002
0.000768171,5002
0.000771454,5002
0.000774736,5002
0.000778019,5002
0.000781302,5002
0.000784585,5002
0.000787868,5002
0.00079115,5002
0.000794433,5002
0.000797716,5002
0.000800999,5002
0.000804282,5002
0.000807564,5002
0.000810847,5002
0.00081413,5002
0.000817413,5002
0.000820696,5002
0.000823978,5002
0.000827261,5002
0.000830544,5002
0.000833827,5002
0.00083711,5002
0.000840392,5002
0.000843675,5002
0.000846958,5002
0.000850241,5002
0.000853524,5002
0.000856806,5002
0.000860089,5002
0.000863372,5002
0.000866655,5002
0.000869938,5002
0.00087322,5002
0.000876503,5002
0.000879786,5002
0.000883069,5002
0.000886352,5002
0.000889634,5002
0.000892917,5002
0.0008962,5002
0.000899483,5002
0.000902765,5002
0.000906048,5002
0.000909331,5002
0.000912614,5002
0.000915897,5002
0.000919179,5002
0.000922462,5002
0.000925745,5002
0.000929028,5002
0.000932311,5002
0.000935593,5002
0.000938876,5002
0.000942159,5002
0.000945442,5002
0.000948725,5002
0.000952007,5002
0.00095529,5002
0.000958573,5002
0.000961856,5002
0.000965139,5002
0.000968421,5002
0.000971704,5002
0.000974987,5002
0.00097827,5002
0.000981553,5002
0.000984835,5002
0.000988118,5002
0.000991401,5002
0.000994684,5002
0.000997967,5002
0.00100125,5002
0.00100453,5002
0.00100781,5002
0.0010111,5002
0.00101438,5002
0.00101766,5002
0.00102095,5002
0.00102423,5002
0.00102751,5002
0.00103079,5002
0.00103408,5002
0.00103736,5002
0.00104064,5002
0.00104393,5002
0.00104721,5002
0.00105049,5002
0.00105377,5002
0.00105706,5002
0.00106034,5002
0.00106362,5002
0.00106691,5002
0.00107019,5002
0.00107347,5002
0.00107675,5002
0.00108004,5002
0.00108332,5002
0.0010866,5002
0.00108988,5002
0.00109317,5002
0.00109645,5002
0.00109973,5002
0.00110302,5002
0.0011063,5002
0.00110958,5002
0.00111286,5002
0.00111615,5002
0.00111943,5002
0.00112271,5002
0.001126,5002
0.00112928,5002
0.00113256,5002
0.00113584,5002
0.00113913,5002
0.00114241,5002
0.00114569,5002
0.00114898,5002
0.00115226,5002
0.00115554,5002
0.00115882,5002
0.00116211,5002
0.00116539,5002
0.00116867,5002
0.00117195,5002
0.00117524,5002
0.00117852,5002
0.0011818,5002
0.00118509,5002
0.00118837,5002
0.00119165,5002
0.00119493,5002
0.00119822,5002
0.0012015,5002
0.00120478,5002
0.00120807,5002
0.00121135,5002
0.00121463,5002
0.00121791,5002
0.0012212,5002
0.00122448,5002
0.00122776,5002
0.00123104,5002
0.00123433,5002
0.00123761,5002
0.00124089,5002
0.00124418,5002
0.00124746,5002
0.00125074,5002
0.00125402,5002
0.00125731,5002
0.00126059,5002
0.00126387,5002
0.00126716,5002
0.00127044,5002
0.00127372,5002
0.001277,5002
0.00128029,5002
0.00128357,5002
0.00128685,5002
0.00129014,5002
0.00129342,5002
0.0012967,5002
0.00129998,5002
0.00130327,5002
0.00130655,5002
0.00130983,5002
0.00131311,5002
0.0013164,5002
0.00131968,5002
0.00132296,5002
0.00132625,5002
0.00132953,5002
0.00133281,5002
0.00133609,5002
0.00133938,5002
0.00134266,5002
0.00134594,5002
0.00134923,5002
0.00135251,5002
0.00135579,5002
0.00135907,5002
0.00136236,5002
0.00136564,5002
0.00136892,5002
0.00137221,5002
0.00137549,5002
0.00137877,5002
0.00138205,5002
0.00138534,5002
0.00138862,5002
0.0013919,5002
0.00139518,5002
0.00139847,5002
0.00140175,5002
0.00140503,5002
0.00140832,5002
0.0014116,5002
0.00141488,5002
0.00141816,5002
0.00142145,5002
0.00142473,5002
0.00142801,5002
0.0014313,5002
0.00143458,5002
0.00143786,5002
0.00144114,5002
0.00144443,5002
0.00144771,5002
0.00145099,5002
0.00145428,5002
0.00145756,5002
0.00146084,5002
0.00146412,5002
0.00146741,5002
0.00147069,5002
0.00147397,5002
0.00147725,5002
0.00148054,5002
0.00148382,5002
0.0014871,5002
0.00149039,5002
0.00149367,5002
0.00149695,5002
0.00150023,5002
0.00150352,5002
0.0015068,5002
0.00151008,5002
0.00151337,5002
0.00151665,5002
0.00151993,5002
0.00152321,5002
0.0015265,5002
0.00152978,5002
0.00153306,5002
0.00153634,5002
0.00153963,5002
0.00154291,5002
0.00154619,5002
0.00154948,5002
0.00155276,5002
0.00155604,5002
0.00155932,5002
0.00156261,5002
0.00156589,5002
0.00156917,5002
0.00157246,5002
0.00157574,5002
0.00157902,5002
0.0015823,5002
0.00158559,5002
0.00158887,5002
0.00159215,5002
0.00159544,5002
0.00159872,5002
0.001602,5002
0.00160528,5002
0.00160857,5002
0.00161185,5002
0.00161513,5002
0.00161841,5002
0.0016217,5002
0.00162498,5002
0.00162826,5002
0.00163155,5002
0.00163483,5002
0.00163811,5002
0.00164139,5002
0.00164468,5002
0.00164796,5002
0.00165124,5002
0.00165453,5002
0.00165781,5002
0.00166109,5002
0.00166437,5002
0.00166766,5002
0.00167094,5002
0.00167422,5002
0.00167751,5002
0.00168079,5002
0.00168407,5002
0.00168735,5002
0.00169064,5002
0.00169392,5002
0.0016972,5002
0.00170048,5002
0.00170377,5002
0.00170705,5002
0.00171033,5002
0.00171362,5002
0.0017169,5002
0.00172018,5002
0.00172346,5002
0.00172675,5002
0.00173003,5002
0.00173331,5002
0.0017366,5002
0.00173988,5002
0.00174316,5002
0.00174644,5002
0.00174973,5002
0.00175301,5002
0.00175629,5002
0.00175958,5002
0.00176286,5002
0.00176614,5002
0.00176942,5002
0.00177271,5002
0.00177599,5002
0.00177927,5002
